cod,name_learning_method,ind_language,name_model,name_device,descr_filter,num_question,num_batch_size,num_top_k,num_factor_multiply_top_k,datetime_execution,time_execution_total,time_execution_per_question,num_doc_stride,num_max_answer_length,if_handle_impossible_answer,ind_format_prompt,descr_task_prompt,num_shot
8,transfer,en,distilbert-base-cased-distilled-squad,cuda:0,{},10570,128,3,10,2022-07-13 12:06:48,2161,204,128,80,False,,,99999
9,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,cuda:0,{},10570,128,3,10,2022-07-13 12:43:45,2566,243,128,80,False,,,99999
10,transfer,en,distilbert-base-cased-distilled-squad,cuda:0,{},10570,128,3,10,2022-07-13 15:49:58,2175,206,128,160,False,,,99999
11,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,cuda:0,{},10570,128,3,10,2022-07-13 16:27:28,2577,244,128,160,False,,,99999
